label,mean_intensity,std_intensity,active_fraction,intensity_sum,nonzero_count
0,44.21682790539819,87.43729857356178,0.24486587223104675,34665.99307783218,191.97484382914064
1,19.379653852790003,61.36879749478524,0.10949749968216299,15193.648620587363,85.84603975081578
2,37.98865784984689,81.90950106123346,0.21531781141459608,29783.10775427996,168.8091641490433
3,36.0964517671628,79.8427430948169,0.20839325777325032,28299.618185455638,163.38031409422828
4,30.948225682775675,74.77733526460365,0.18087616765295642,24263.40893529613,141.80691543991784
5,32.831095484679764,76.06456002741712,0.19429825056752087,25739.57885998893,152.32982844493637
6,35.01195268154575,79.03469460045493,0.2001721227524467,27449.37090233187,156.93494423791822
7,29.204562926527355,73.32692412025861,0.16759857973516623,22896.377334397446,131.3972865123703
8,38.28977538289286,81.72133830466221,0.22106590884516514,30019.183900188003,173.31567253460946
9,30.714755993612037,74.44654719467394,0.18075626794164618,24080.36869899184,141.7129140662506
