row_id,original_label,reasons,pred_original,conf_original,pred_balanced,conf_balanced,pred_cleaned,conf_cleaned,models_matching_original
28,2,centroid_outlier;isolation_forest_outlier;knn_outlier,2,0.9999996686077582,2,0.9999993524929021,2,0.9998450288368131,3
108,0,isolation_forest_outlier,0,0.999999184551687,0,0.999989103892316,0,0.9999989932306945,3
134,1,centroid_outlier,1,0.9971387699711235,1,0.9936562106636464,3,0.87805885665716,2
220,2,isolation_forest_outlier,2,0.9999998640531536,2,0.9999999797360744,2,0.9999999997060567,3
222,4,centroid_outlier,4,0.9999992369476731,4,0.9990793122732816,4,0.9999731880583146,3
224,1,centroid_outlier;intensity_outlier,1,0.9991113915176739,7,0.7261289217440045,2,0.6896069802290785,1
229,0,isolation_forest_outlier,0,0.9999999209608026,0,0.9999999973240468,0,0.9999999954895806,3
418,8,intensity_outlier,8,0.961383889965046,5,0.4821459231366749,5,0.5911073531100851,1
440,0,isolation_forest_outlier,0,0.999993396926135,0,0.9998566088913854,0,0.9999751806002466,3
528,8,isolation_forest_outlier,8,0.9995397890845882,8,0.9639890640710012,8,0.8973272583161198,3
670,3,centroid_outlier;isolation_forest_outlier,3,0.9962463900026703,2,0.9785875297736693,2,0.9991255432582113,1
756,8,intensity_outlier,8,0.9999999236686314,8,0.9999336804240734,8,0.999904887180737,3
828,4,centroid_outlier,4,0.9999622919417961,6,0.5563603989370238,4,0.9974807120318665,2
872,0,isolation_forest_outlier,0,0.9999979361522053,0,0.9999998390770554,0,0.9999999243654547,3
1028,0,isolation_forest_outlier,0,0.9999997152839442,0,0.9999914328283446,0,0.9999999328796584,3
1030,4,centroid_outlier;intensity_outlier;knn_outlier,4,0.9950217871454202,4,0.6462479125566497,4,0.9140237640486257,3
1097,3,knn_outlier,3,0.9999381067862909,3,0.9872223380724103,2,0.6048766212996627,2
1168,0,intensity_outlier,0,0.9999673190661587,0,0.9982861677519252,0,0.9998479768036707,3
1199,2,isolation_forest_outlier,2,0.9999999196143603,2,0.9999999999754248,2,0.9999999999983957,3
1215,4,intensity_outlier,4,0.9999998966086607,4,0.9999998010809035,4,0.999999800014669,3
1239,8,knn_outlier,8,0.9990669447484775,8,0.9987717248046488,7,0.6593837971710654,2
1259,1,intensity_outlier,1,0.9995235407753648,1,0.6788366646545775,8,0.9160205745239752,2
1262,2,isolation_forest_outlier,2,0.999996165920702,2,0.999999639650913,2,0.999994710270885,3
1267,8,intensity_outlier,8,0.9999999961165673,8,0.9999935740177593,8,0.9999968781490305,3
1269,6,intensity_outlier,6,0.9998727313321222,6,0.9980846597369638,6,0.9996478259754373,3
1271,4,intensity_outlier,4,0.9994418681446274,4,0.9995367340946375,4,0.995885338092853,3
1273,4,intensity_outlier,4,0.9999995767096568,4,0.9999998431470574,4,0.9999999714408051,3
1274,3,intensity_outlier,3,0.9998533027776543,3,0.9907218263141996,3,0.9999182072634551,3
1287,1,intensity_outlier,1,0.9977644218113564,1,0.7251252134589008,8,0.8521072354296132,2
1360,3,intensity_outlier,3,0.9999800004739551,3,0.9008939349498829,3,0.9658916103277414,3
1365,1,intensity_outlier,1,0.9999792536057855,1,0.9972674323860938,1,0.6453279433720158,3
1375,1,intensity_outlier,1,0.997347695472897,8,0.9632712835628636,8,0.9687800116465752,1
1420,5,centroid_outlier;isolation_forest_outlier,5,0.999999947437927,5,0.9999980922471292,5,0.9999942126319212,3
1448,4,centroid_outlier,4,0.9992617900222501,4,0.9999881380656287,4,0.9728101021231087,3
1466,6,centroid_outlier;intensity_outlier,6,0.9999999237810713,6,0.999999999999758,6,0.9999999999994222,3
1480,7,intensity_outlier,7,0.9999993372281327,7,0.9985792806211098,7,0.9999382445431957,3
1558,2,isolation_forest_outlier,2,0.9999991723171446,2,0.9999999661383785,2,0.9999999208555659,3
1618,7,centroid_outlier;intensity_outlier,7,0.9999930190223751,7,0.9316247903068118,7,0.9903585039136429,3
1682,0,knn_outlier,0,0.9999718759254327,0,0.982028262329291,0,0.9966682056706863,3
1852,2,intensity_outlier,2,0.9998566759547124,2,0.9999814347182925,2,0.924770809392767,3
1963,0,intensity_outlier,0,0.9999872827113527,0,0.9998272735422828,0,0.9999752907004374,3
1987,2,isolation_forest_outlier,2,0.999996801427137,2,0.9999999999881499,2,0.9999999999791098,3
1988,2,intensity_outlier,2,0.9955286370386952,2,0.9953427505624458,2,0.9847778900214629,3
1999,0,intensity_outlier,0,0.9999998125043416,0,0.9991043466195483,0,0.9999634391205553,3
2019,2,centroid_outlier,2,0.9999633703567238,2,0.9999999999999998,2,0.9999999999996281,3
2034,4,knn_outlier,4,0.9999201877969511,4,0.9889657918979291,4,0.9758947959087012,3
2073,2,isolation_forest_outlier,2,0.9999971359880115,2,0.9999999999999696,2,0.9999999999999998,3
2077,8,intensity_outlier,8,0.9999999931680463,8,0.9999976328459385,8,0.9999999814835677,3
2118,7,centroid_outlier,7,0.9998922824870158,7,0.9929504102177232,7,0.9452092615156842,3
2268,5,knn_outlier,5,0.9998563662001416,5,0.9999979523677062,5,0.9999999656096691,3
2292,7,centroid_outlier,7,0.999812538319578,7,0.970628531217882,7,0.9954850585130645,3
2532,0,isolation_forest_outlier,0,0.9999945831974755,0,0.9999998693433043,0,0.999999997857659,3
2571,5,isolation_forest_outlier,5,0.999991674900947,5,0.9995458926635137,5,0.9999850219581051,3
2586,0,isolation_forest_outlier,0,0.9999997393920441,0,0.9999340508292761,0,0.9999981559041135,3
2652,3,full_duplicate;intensity_outlier;same_label_duplicate,3,0.9998533027776543,3,0.9907218263141996,3,0.9999182072634551,3
2736,0,isolation_forest_outlier,0,0.9999999605448708,0,0.9999999988808101,0,0.9999999999451878,3
2741,6,isolation_forest_outlier,6,0.9999906432947093,6,0.9999995920921548,6,0.999999715748509,3
2745,0,isolation_forest_outlier,0,0.9999991560521636,0,0.9999999419302166,0,0.9999999981438217,3
2761,8,knn_outlier,8,0.9993336910370734,8,0.9958552383585834,8,0.9994609162847901,3
2773,4,centroid_outlier,4,0.9999986060262316,4,0.9999790662576249,4,0.9999953942750852,3
2777,6,isolation_forest_outlier,6,0.9999972716939641,6,0.9999986238364558,6,0.9999991346104574,3
2781,8,isolation_forest_outlier;knn_outlier,8,0.9999939428060144,8,0.9994063000097109,8,0.9999454170548038,3
2796,3,intensity_outlier,3,0.9999995734647619,3,0.9999998941516038,3,0.9999975317525422,3
2862,6,isolation_forest_outlier,6,0.9997851953706927,6,0.8141214639557928,6,0.9985884944130683,3
2880,6,isolation_forest_outlier,6,0.9994708459480431,6,0.9999395904807098,2,0.7814072897997061,2
3026,8,isolation_forest_outlier,8,0.9991716041090871,8,0.9995450745592768,4,0.8146425981480441,2
3070,1,centroid_outlier,1,0.9862239157017545,1,0.872710422599642,1,0.8528343938765454,3
3106,0,intensity_outlier;knn_outlier,0,0.9996000195894859,0,0.980630009937728,0,0.9997944430867218,3
3308,2,intensity_outlier,2,0.9994043961247919,2,0.9977207467640905,2,0.9248176795811438,3
3362,2,knn_outlier,2,0.9999228766457474,2,0.9999972950150892,2,0.9999488897174555,3
3370,4,centroid_outlier;intensity_outlier;knn_outlier,4,0.9997620269145174,4,0.995131227478465,4,0.9995796935684798,3
3371,3,isolation_forest_outlier,3,0.9999143371389164,3,0.9987410735755526,3,0.995935646301145,3
3392,6,knn_outlier,6,0.9986304181758937,8,0.9653964263034098,8,0.8764178041350351,1
3502,8,isolation_forest_outlier,8,0.9999984522637976,8,0.9996477134746364,8,0.9986876786238418,3
3524,6,centroid_outlier;intensity_outlier;knn_outlier,6,0.9991202965037089,6,0.9939752559432838,6,0.7459254560884635,3
3590,0,isolation_forest_outlier,0,0.9999528526360497,0,0.9999712679689069,0,0.9999995982842245,3
3659,2,isolation_forest_outlier,2,0.9999999982424079,2,0.9999999999996654,2,0.999999999999998,3
3676,2,centroid_outlier,2,0.9999957739521242,2,0.9999711362015384,2,0.9999997580688381,3
3691,0,knn_outlier,0,0.9985326898048903,0,0.9926648461430237,0,0.9741135760162307,3
3762,8,knn_outlier,8,0.9991959888202423,8,0.993579413871789,8,0.99781335552074,3
3768,5,isolation_forest_outlier,5,0.9997023688873062,5,0.9989909626873252,5,0.920951283446894,3
3848,2,isolation_forest_outlier,2,0.9999965315384761,2,0.9999990838559605,2,0.999996702937658,3
3980,2,knn_outlier,2,0.9991211414009199,2,0.8798998832351355,2,0.9922078539407222,3
4045,3,intensity_outlier,3,0.9995777342457367,3,0.7982607129135885,3,0.9732524870888054,3
4058,8,knn_outlier,8,0.9999940252438553,8,0.8445231921564486,4,0.7690141853498744,2
4066,1,centroid_outlier;intensity_outlier;knn_outlier,1,0.9991001585811468,5,0.4579196195759163,5,0.7055607339567165,1
4114,4,centroid_outlier,4,0.9999886349099237,4,0.9966102250732454,4,0.9999963251076901,3
4201,0,intensity_outlier,0,0.997925536412647,0,0.25424905950741306,0,0.9389696207062833,3
4226,7,centroid_outlier,7,0.9999989638632727,7,0.9999480117440059,7,0.9998752746444761,3
4360,6,centroid_outlier;isolation_forest_outlier,6,0.9999992125815048,6,0.9999916535813939,6,0.9999912833177571,3
4462,5,centroid_outlier;intensity_outlier,5,0.9999994693601382,5,0.9999999994821356,5,0.999999980107231,3
4502,1,centroid_outlier;intensity_outlier,1,0.9984653419748213,2,0.9986974763985411,2,0.9999994056089765,1
4721,4,isolation_forest_outlier,4,0.999998103503349,4,0.9999759356677084,4,0.9996719548747052,3
4723,5,isolation_forest_outlier,5,0.9999998287116165,5,0.9999996875283735,5,0.9999862976677416,3
4725,7,isolation_forest_outlier,7,0.9999996219397732,7,0.999999962234608,7,0.9999688211904231,3
4727,8,centroid_outlier;isolation_forest_outlier;knn_outlier,8,0.9997556005395783,8,0.9926746105487122,8,0.992517855835054,3
4754,3,centroid_outlier;intensity_outlier,3,0.9993696047138796,3,0.9991040116005067,3,0.9898844328619395,3
4761,8,knn_outlier,8,0.9996363778659408,8,0.9465375843328012,8,0.9986134993855716,3
4767,8,centroid_outlier;knn_outlier,8,0.9999567532020411,8,0.9989573859586963,8,0.994368910687523,3
4793,0,isolation_forest_outlier,0,0.9999958418173164,0,0.999997673124789,0,0.9999999041512099,3
4797,8,centroid_outlier,8,0.9999541010115476,8,0.9922830716160072,8,0.9962654508305012,3
4799,7,centroid_outlier,7,0.999999401468516,7,0.9999992257199273,7,0.9999395372190664,3
4801,5,knn_outlier,5,0.999991916805008,5,0.9866888596788979,5,0.9999995176028622,3
4820,5,centroid_outlier;isolation_forest_outlier,5,0.9999075647738447,5,0.9999627717292365,5,0.9896024455914825,3
4829,4,centroid_outlier,4,0.999999948210047,4,0.9999889768845566,4,0.9999997048577886,3
4841,6,centroid_outlier,6,0.9999999754575352,6,0.9999999999904241,6,0.9999999997765572,3
4863,7,centroid_outlier,7,0.9999752685518482,7,0.999959439305181,7,0.9980942574612985,3
4873,8,knn_outlier,8,0.9999171761598038,8,0.9977460416898074,8,0.5484012941947428,3
4875,7,centroid_outlier,7,0.9999999120987524,7,0.9999999930614307,7,0.9999999816500537,3
4891,3,isolation_forest_outlier,3,0.9999999974578795,3,0.9999999997764184,3,0.9999999999587037,3
4909,8,centroid_outlier;knn_outlier,8,0.9998367959444278,8,0.998552379547464,0,0.8175095664706391,2
5013,2,knn_outlier,2,0.991261724968093,2,0.9965926941832487,5,0.5020347438663871,2
5113,2,knn_outlier,2,0.9999884176204074,2,0.9977645311403396,2,0.5819816053123766,3
5129,2,centroid_outlier;isolation_forest_outlier;knn_outlier,2,0.9936630969595944,2,0.9897729088221003,5,0.7266754353760225,2
5227,2,isolation_forest_outlier,2,0.9999999122249147,2,0.99999012961549,2,0.9999164879451754,3
5250,2,isolation_forest_outlier,2,0.9995307032377085,2,0.9998437704326504,2,0.9908375392284148,3
5288,0,intensity_outlier,0,0.9999993829362466,0,0.9994839338481143,0,0.9988204510870918,3
5298,0,intensity_outlier,0,0.9873274822700883,4,0.9929812095063866,4,0.931042124980192,1
5348,8,knn_outlier,8,0.9999987723374114,8,0.999755049900462,8,0.9999519634241616,3
5422,7,centroid_outlier;intensity_outlier;knn_outlier,7,0.9997876778913745,7,0.9860754381359685,9,0.39748632039621573,2
5430,8,knn_outlier,8,0.9998166218481137,8,0.9981444159421407,8,0.6681723261947673,3
5474,8,knn_outlier,8,0.9999746003134314,8,0.9965750505025291,8,0.9993816499828484,3
5503,3,full_duplicate;intensity_outlier;same_label_duplicate,3,0.9995777342457367,3,0.7982607129135885,3,0.9732524870888054,3
5842,1,centroid_outlier;intensity_outlier,1,0.9999224239446323,2,0.7516914785257226,2,0.9613586334457059,1
5895,2,isolation_forest_outlier,2,0.9999997797519268,2,0.9999999051704614,2,0.999999998764062,3
5967,3,intensity_outlier,3,0.9999532913979572,3,0.9999664654863871,3,0.9998552452444396,3
5972,8,centroid_outlier;intensity_outlier;isolation_forest_outlier;knn_outlier,8,0.9997425160773943,8,0.9539216117025623,2,0.7339464608800942,2
5973,6,intensity_outlier,6,0.9999851586287298,6,0.9994298954805773,6,0.9992088299701578,3
5975,7,intensity_outlier,7,0.9999981852133416,7,0.9999748981465488,7,0.9999861336087652,3
5982,4,centroid_outlier,4,0.9999999389259409,4,0.9997867087030028,4,0.9999961006690224,3
5995,7,intensity_outlier,7,0.9999999854320549,7,0.9999998068679736,7,0.9999999921375889,3
6013,6,intensity_outlier,6,0.9999998503900951,6,0.9999999994684983,6,0.9999999990736863,3
6066,8,knn_outlier,8,0.4974012308625271,8,0.6474483805198081,5,0.7426868770340412,2
6069,3,intensity_outlier,3,0.999998981200117,3,0.9999992253027306,3,0.9999951214595493,3
6080,2,intensity_outlier,2,0.9999944419364778,2,0.997572942153741,2,0.997556134559004,3
6152,8,knn_outlier,8,0.9999691439408764,8,0.9999746154525551,8,0.9967827351555305,3
6155,3,centroid_outlier;intensity_outlier,3,0.9960858466692822,3,0.9719343202047906,3,0.7791210784075491,3
6197,1,intensity_outlier,1,0.9943573312790096,1,0.9559170363138777,8,0.9349640574034848,2
6428,3,knn_outlier,3,0.9732906174511589,3,0.9997474191653641,7,0.8423511631564571,2
6580,8,isolation_forest_outlier,8,0.9999188138831927,8,0.9998159327754396,8,0.9995651137656413,3
